0 1 020 4.16 06 06 09
2    2 14 12 10 17 27 49 87   0.238   0.0015  11.06  12.16  -1.00 325994 405917
3 14 12 10 17 27 30 19 10 191.24 157.46 0.997 0.997   0.229   0.0017  11.02  12.28
4    1 334190 416562
4    2 332824 415042
4    3 329850 411162
4    4 327748 408657
4    5 325994 405860
4    6 327974 408592
4    7 330052 411251
4    8 332218 413951
4    9 334368 416529
4   10 325994 405917
1 14 12 10 17 28 22 15    2    0 305.70 306.77 261.28 251.47 191.20 157.58 457840 554195 558519 648246
2    1 14 12 10 17 28 22 15   0.215   0.0018  10.87  12.32  -1.00 325946 405941
2    2 14 12 10 17 28 42 23   0.222   0.0018  10.95  12.30  -1.00 325986 405933
3 14 12 10 17 28 22 15 10 190.72 157.61 0.997 0.997   0.231   0.0017  11.05  12.28
4    1 334206 416618
4    2 332840 415026
4    3 329850 411162
4    4 327724 408624
4    5 325946 405941
4    6 327958 408592
4    7 330068 411251
4    8 332226 413951
4    9 334360 416545
4   10 325986 405933
1 14 12 10 17 29 14 55    2    0 305.70 306.77 261.28 251.51 191.20 157.58 457816 554300 558689 648359
2    1 14 12 10 17 29 14 55   0.244   0.0013  11.07  12.05  -1.00 326027 405884
2    2 14 12 10 17 29 34 47   0.224   0.0016  10.92  12.21  -1.00 325946 405981
3 14 12 10 17 29 14 55 10 191.20 157.51 0.998 0.997   0.227   0.0017  11.00  12.28
4    1 334263 416634
4    2 332792 415002
4    3 329866 411170
4    4 327748 408632
4    5 326027 405884
4    6 328023 408608
4    7 330011 411211
4    8 332218 413959
4    9 334263 416545
4   10 325946 405981
1 14 12 10 17 30 06 87    2    0 305.70 306.78 261.29 251.56 191.20 157.58 457856 554316 558689 648327
2    1 14 12 10 17 30 06 87   0.226   0.0016  10.91  12.17  -1.00 325978 405965
2    2 14 12 10 17 30 26 75   0.224   0.0017  10.93  12.22  -1.00 325986 405997
3 14 12 10 17 30 06 87 10 191.00 157.47 0.998 0.997   0.233   0.0017  11.08  12.29
4    1 334360 416820
4    2 332808 415042
4    3 329930 411227
4    4 327797 408697
4    5 325978 405965
4    6 328039 408689
4    7 330076 411275
4    8 332323 414024
4    9 334336 416505
4   10 325986 405997
1 14 12 10 17 30 58 90    2    0 305.70 306.77 261.30 251.58 191.20 157.58 457848 554316 558689 648327
2    1 14 12 10 17 30 58 90   0.227   0.0015  10.90  12.13  -1.00 325962 405941
2    2 14 12 10 17 31 18 90   0.236   0.0014  10.97  12.06  -1.00 326002 405900
3 14 12 10 17 30 58 90 10 190.99 157.39 0.998 0.997   0.236   0.0018  11.13  12.32
4    1 334457 416861
4    2 332929 415074
4    3 330011 411243
4    4 327789 408737
4    5 325962 405941
4    6 328071 408649
4    7 330068 411300
4    8 332347 414016
4    9 334319 416432
4   10 326002 405900
1 14 12 10 17 31 51 27    2    0 305.70 306.77 261.31 251.54 191.20 157.58 457792 554284 558649 648383
2    1 14 12 10 17 31 51 27   0.236   0.0017  11.10  12.28  -1.00 326010 405989
2    2 14 12 10 17 32 11 10   0.234   0.0017  11.07  12.27  -1.00 325994 405981
3 14 12 10 17 31 51 27 10 191.19 157.70 0.998 0.997   0.235   0.0016  11.07  12.23
4    1 334392 416788
4    2 332824 414953
4    3 330011 411300
